guide,categories,articles,words,Miscellaneous is not last,a bare line feed,a category holds fewer than two articles,a change log survives,a contents entry points nowhere,a dropped table,a heading is missing from the contents,a heading level is skipped,a section marker survives in a title,a title repeats inside a category,articles out of order,categories out of order,no byte order mark,no contents section,no frontmatter,not exactly one h1
AccessibilityInsights.md,2,12,8841,,,,,,,,,,,,,,,,
Aira.md,7,26,20523,,,FAIL,,,,,,,,,,,,,
Alexa.md,7,738,213356,,,,,,,,,,,,,,,,
Amtrak.md,8,62,44664,,,FAIL,,,FAIL,,,,,,,,,,
Android.md,7,455,275924,,,,,,FAIL,,,,,,,,,,
AndroidStudio.md,12,226,312698,,,,,,FAIL,,,,,,,,,,
AppleTV.md,6,192,75217,,,,,,FAIL,,,,,,,,,,
AppleWatch.md,6,252,107927,,,,,,FAIL,,,,,,,,,,
Audacity.md,18,543,540959,,,FAIL,,,,,,,,,,,,,
Audible.md,7,110,62205,,,,,,,,,,,,,,,,
AudioDescriptionProject.md,8,62,47680,,,,,,,,,,,,,,,,
Auphonic.md,4,25,51394,,,FAIL,,,FAIL,,,,,,,,,,
BARD.md,6,32,128169,,,,,,FAIL,,,,,,,,,,
BBC.md,6,87,16096,,,,,,,,,,,,,,,,
BeMyEyes.md,5,132,46267,,,,,,,,,,,,,,,,
Bookshare.md,15,56,21486,,,FAIL,,,,,,,,,,,,,
Brave.md,36,240,136698,,,FAIL,,,,,,,,,,,,,
CVS.md,40,194,43603,,,,,,,,,,,,,,,,
Calendly.md,27,333,155940,,,,,,,,,,,,,,,,
Calm.md,29,231,83518,,,,,,,,,,,,,,,,
ChatGPT.md,14,455,319626,,,FAIL,,,,,,,,,,,,,
Chrome.md,12,155,112756,,,,,,,,,,,,,,,,
Claude.md,17,353,275762,,,,,,,,,,,,,,,,
CookUnity.md,7,69,21820,,,,,,FAIL,,,,,,,,,,
Copilot.md,10,117,79151,,,FAIL,,,,,,,,,,,,,
Costco.md,19,274,77890,,,,,,,,,,,,,,,,
Disqus.md,16,168,126754,,,,,,,,,,,,,,,,
DoorDash.md,12,375,250011,,,FAIL,,,FAIL,,,,,,,,,,
Downcast.md,5,55,9498,,,FAIL,,,,,,,,,,,,,
Dragon.md,16,149,59834,,,,,,,,,,,,,,,,
Drive.md,12,118,198049,,,,,,,,,,,,,,,,
Dropbox.md,19,1087,434273,,,,,,,,,,,,,,,,
Drupal.md,16,103,52795,,,FAIL,,,,,,,,,,,,,
DuckDuckGo.md,19,282,123293,,,,,,,,,,,,,,,,
